id,assignment,userid,timecreated,timemodified,grader,grade,attemptnumber
1,10,13,1711361942,1713197272,9,94.44000,0
211,21,13,1719778597,1719778605,6,100.00000,0
57,13,13,1714045142,1716284861,6,57.50000,0
77,14,13,1714908962,1716800359,9,89.28000,0
12,11,13,1712567282,1718613234,9,72.50000,0
100,16,13,1716142082,1718205537,6,94.82000,0
200,20,13,1719778113,1719778121,6,100.00000,0
26,12,13,1713171362,1715021994,9,92.50000,0
163,19,13,1718278442,1719744902,9,100.00000,0
123,17,13,1716800761,1718792524,9,100.00000,0
80,15,13,1714986302,1717401997,9,94.44000,0
138,18,13,1717404661,1719745072,9,91.66000,0
172,17,16,1718792524,1718792524,9,100.00000,0
134,15,16,1717401997,1717401997,9,94.44000,0
120,14,16,1716800359,1716800359,9,89.28000,0
201,20,16,1719778129,1719778137,6,100.00000,0
41,11,16,1713458544,1718613234,9,72.50000,0
106,13,16,1716284861,1716284861,6,57.50000,0
189,18,16,1719745072,1719745072,9,91.66000,0
157,16,16,1718205537,1718205537,6,94.82000,0
88,12,16,1715021994,1715021994,9,92.50000,0
32,10,16,1713197272,1713197272,9,94.44000,0
184,19,16,1719744902,1719744902,9,100.00000,0
212,21,16,1719778615,1719778623,6,100.00000,0
195,20,17,1719777914,1719777926,6,100.00000,0
182,19,17,1719744828,1719744828,9,100.00000,0
39,11,17,1713458486,1718613146,9,82.50000,0
86,12,17,1715021942,1715021942,9,95.00000,0
104,13,17,1716284744,1718613350,9,85.00000,0
187,18,17,1719745003,1719745003,9,100.00000,0
30,10,17,1713197227,1713197227,9,97.22000,0
117,14,17,1716800293,1716800293,9,94.04000,0
170,17,17,1718792468,1718792475,9,100.00000,0
132,15,17,1717401907,1717401921,9,97.22000,0
209,21,17,1719778522,1719778531,6,100.00000,0
155,16,17,1718205445,1718205455,6,96.55000,0
24,11,19,1713088682,1713774272,6,92.50000,0
63,13,19,1714327682,1716284989,6,42.50000,0
178,19,19,1719147662,1719777574,6,96.77000,0
217,21,19,1719778774,1719778782,6,100.00000,0
199,20,19,1719778068,1719778076,6,100.00000,0
148,18,19,1717940402,1717940358,-1,-1.00000,0
8,10,19,1712440382,1713207965,6,80.55000,0
95,15,19,1715550482,1717402086,6,100.00000,0
147,17,19,1717934402,1718792586,9,100.00000,0
46,12,19,1713462929,1715022066,9,97.50000,0
75,14,19,1714732922,1716800365,6,97.61000,0
160,16,19,1718205637,1718205645,6,100.00000,0
202,20,21,1719778165,1719778173,6,100.00000,0
174,17,21,1718792565,1718792565,9,100.00000,0
35,10,21,1713207824,1713207879,6,91.66000,0
191,19,21,1719777508,1719777531,6,93.54000,0
159,16,21,1718205599,1718205610,6,96.55000,0
108,13,21,1716284929,1716284942,6,95.00000,0
215,21,21,1719778714,1719778721,6,100.00000,0
52,11,21,1713774186,1713774200,6,80.00000,0
118,14,21,1716800297,1716800310,6,91.66000,0
44,12,21,1713462896,1715022044,9,80.00000,0
131,15,21,1717401905,1717401922,6,95.45000,0
185,18,25,1719744942,1719744942,9,100.00000,0
84,12,25,1715021892,1715021892,9,72.50000,0
153,16,25,1718205369,1718205389,6,100.00000,0
101,13,25,1716284623,1716284676,6,47.50000,0
128,15,25,1717401831,1717401831,9,91.66000,0
37,11,25,1713458397,1713458397,9,12.50000,0
28,10,25,1713197165,1713197166,9,91.66000,0
204,20,25,1719778219,1719778228,6,100.00000,0
114,14,25,1716800216,1716800235,9,92.26000,0
180,19,25,1719744747,1719744759,9,83.87000,0
205,21,25,1719778385,1719778393,6,100.00000,0
168,17,25,1718792410,1718792421,9,97.91000,0
126,17,26,1717169582,1718792421,9,97.91000,0
81,15,26,1714987862,1717401831,9,91.66000,0
146,18,26,1717933142,1719744942,9,100.00000,0
98,16,26,1715803862,1718205389,6,100.00000,0
164,19,26,1718447762,1719744759,9,83.87000,0
102,13,26,1716284676,1716284676,6,47.50000,0
3,10,26,1711371662,1713197165,9,91.66000,0
206,21,26,1719778401,1719778409,6,100.00000,0
13,11,26,1712567882,1713458397,9,12.50000,0
72,14,26,1714472282,1716800235,9,92.26000,0
27,12,26,1713172082,1715021892,9,72.50000,0
190,19,27,1719777451,1719777481,6,87.09000,0
213,21,27,1719778660,1719778667,6,100.00000,0
23,7,27,1713007742,1713007687,-1,-1.00000,0
18,1,27,1712672462,1712672420,-1,-1.00000,0
19,3,27,1712674802,1712674766,-1,-1.00000,0
129,15,27,1717401865,1717401879,6,100.00000,0
115,14,27,1716800241,1716800260,6,97.61000,0
34,10,27,1713207669,1713207759,6,94.44000,0
158,16,27,1718205563,1718205572,6,100.00000,0
51,11,27,1713774104,1713774119,6,75.00000,0
107,13,27,1716284891,1718613242,6,57.50000,0
173,17,27,1718792543,1718792543,9,100.00000,0
43,12,27,1713462853,1715022016,9,67.50000,0
111,16,32,1716472502,1718205418,6,100.00000,0
25,11,32,1713120482,1718613172,9,77.50000,0
197,20,32,1719777976,1719777985,6,100.00000,0
177,19,32,1719063902,1719744792,9,96.77000,0
207,21,32,1719778445,1719778453,6,100.00000,0
56,12,32,1713966251,1715021915,9,70.00000,0
9,10,32,1712480102,1713197206,9,97.22000,0
74,14,32,1714724882,1716800263,9,91.66000,0
93,15,32,1715497862,1717401871,9,97.22000,0
145,18,32,1717575962,1719744978,9,100.00000,0
144,17,32,1717571462,1718792453,9,100.00000,0
60,13,32,1714119421,1716284724,6,80.00000,0
89,12,33,1715022114,1715022114,-1,-1.00000,0
31,10,35,1713197253,1713197253,9,97.22000,0
119,14,35,1716800328,1716800328,9,86.30000,0
188,18,35,1719745036,1719745036,9,88.88000,0
87,12,35,1715021965,1715021965,9,72.50000,0
156,16,35,1718205482,1718205491,6,100.00000,0
40,11,35,1713458516,1718613202,9,65.00000,0
219,21,35,1719778863,1719778872,6,100.00000,0
171,17,35,1718792499,1718792499,9,95.83000,0
105,13,35,1716284787,1716284812,6,90.00000,0
133,15,35,1717401954,1717401963,9,97.22000,0
183,19,35,1719744875,1719744875,9,59.67000,0
14,11,36,1712568662,1714378244,6,77.50000,0
161,16,36,1718205676,1718205690,6,91.37000,0
6,10,36,1712122802,1714378112,6,88.88000,0
135,15,36,1717402139,1717402161,6,100.00000,0
175,17,36,1718792604,1718797560,9,83.33000,0
62,13,36,1714279322,1716285033,6,42.50000,0
47,12,36,1713462965,1715022083,9,75.00000,0
194,20,36,1719777840,1719777858,6,100.00000,0
121,14,36,1716800400,1716800422,6,82.73000,0
94,15,37,1715524742,1717402161,6,100.00000,0
67,11,37,1714378198,1714378244,6,77.50000,0
193,20,37,1719777820,1719777875,6,100.00000,0
66,10,37,1714378095,1714378112,6,88.88000,0
68,13,37,1714402802,1716285033,6,42.50000,0
151,17,37,1717969502,1718797560,9,83.33000,0
70,12,37,1714445762,1715022083,9,75.00000,0
113,16,37,1716756541,1718205690,6,91.37000,0
79,14,37,1714936501,1716800422,6,82.73000,0
218,21,37,1719778801,1719778810,6,100.00000,0
91,15,39,1715248922,1717401963,9,97.22000,0
71,14,39,1714468802,1716800328,9,86.30000,0
4,10,39,1711633622,1713197253,9,97.22000,0
143,18,39,1717494482,1719745036,9,88.88000,0
142,17,39,1717493282,1718792499,9,95.83000,0
50,12,39,1713699302,1715021965,9,72.50000,0
58,13,39,1714076882,1716284812,6,90.00000,0
167,19,39,1718646782,1719744875,9,59.67000,0
17,11,39,1712609581,1718613202,9,65.00000,0
97,16,39,1715800262,1718205491,6,100.00000,0
196,20,40,1719777936,1719777944,6,100.00000,0
125,17,40,1716909361,1718792475,9,100.00000,0
21,11,40,1712837341,1718613146,9,82.50000,0
73,14,40,1714507681,1716800293,9,94.04000,0
96,16,40,1715692382,1718205455,6,96.55000,0
83,15,40,1715003762,1717401921,9,97.22000,0
5,10,40,1712089262,1713197227,9,97.22000,0
54,12,40,1713792361,1715021942,9,95.00000,0
140,18,40,1717406462,1719745002,9,100.00000,0
210,21,40,1719778538,1719778546,6,100.00000,0
59,13,40,1714116602,1718613350,9,85.00000,0
166,19,40,1718615702,1719744828,9,100.00000,0
214,21,41,1719778675,1719778683,6,100.00000,0
99,16,41,1715866142,1718205572,6,100.00000,0
69,14,41,1714419782,1716800260,6,97.61000,0
137,18,41,1717404602,1717404560,-1,-1.00000,0
55,13,41,1713881041,1718613242,6,57.50000,0
90,15,41,1715087222,1717401879,6,100.00000,0
124,17,41,1716905042,1718792543,9,100.00000,0
33,12,41,1713199922,1715022015,9,67.50000,0
22,11,41,1712914982,1713774119,6,75.00000,0
152,19,41,1718029502,1719777481,6,87.09000,0
7,10,41,1712345581,1713207759,6,94.44000,0
198,20,42,1719777994,1719778003,6,100.00000,0
103,13,42,1716284724,1716284724,6,80.00000,0
154,16,42,1718205418,1718205418,6,100.00000,0
181,19,42,1719744792,1719744792,9,96.77000,0
186,18,42,1719744978,1719744978,9,100.00000,0
116,14,42,1716800263,1716800263,9,91.66000,0
38,11,42,1713458441,1718613172,9,77.50000,0
85,12,42,1715021915,1715021916,9,70.00000,0
130,15,42,1717401871,1717401871,9,97.22000,0
208,21,42,1719778460,1719778469,6,100.00000,0
29,10,42,1713197197,1713197206,9,97.22000,0
169,17,42,1718792453,1718792453,9,100.00000,0
165,19,43,1718615102,1719777531,6,93.54000,0
61,13,43,1714120382,1716284942,6,95.00000,0
45,12,43,1713462907,1715022044,9,80.00000,0
203,20,43,1719778187,1719778195,6,100.00000,0
216,21,43,1719778729,1719778738,6,100.00000,0
2,10,43,1711366621,1713207879,6,91.66000,0
16,11,43,1712569442,1713774200,6,80.00000,0
78,14,43,1714930081,1716800310,6,91.66000,0
139,17,43,1717406402,1718792565,9,100.00000,0
112,16,43,1716746281,1718205610,6,96.55000,0
141,18,43,1717406642,1717406596,-1,-1.00000,0
82,15,43,1714988402,1717401922,6,95.45000,0
64,13,59,1714334822,1716285094,6,32.50000,0
110,16,59,1716409381,1718205729,6,96.55000,0
20,11,59,1712776562,1713774394,6,50.00000,0
92,15,59,1715435222,1717402222,6,95.45000,0
48,12,59,1713462998,1715022104,9,77.50000,0
10,10,59,1712523661,1713208181,6,94.44000,0
150,18,59,1717967642,1717967596,-1,-1.00000,0
76,14,59,1714839902,1716800538,6,91.66000,0
179,19,59,1719156602,1719777617,6,93.54000,0
149,17,59,1717963022,1718792636,9,83.33000,0
162,16,61,1718205729,1718205729,6,96.55000,0
136,15,61,1717402222,1717402223,6,95.45000,0
192,19,61,1719777617,1719777617,6,93.54000,0
36,10,61,1713208181,1713208181,6,94.44000,0
122,14,61,1716800538,1716800538,6,91.66000,0
176,17,61,1718792636,1718792636,9,83.33000,0
109,13,61,1716285094,1716285094,6,32.50000,0
53,11,61,1713774394,1713774394,6,50.00000,0
49,12,61,1713463025,1715022104,9,77.50000,0
65,13,63,1714341002,1714340987,-1,-1.00000,0
11,10,63,1712526062,1712526006,-1,-1.00000,0
15,11,63,1712568662,1712568656,-1,-1.00000,0
42,12,63,1713462836,1713455076,-1,-1.00000,0
127,15,63,1717401824,1715881198,-1,-1.00000,0
