Filename,Word Count,Image Count,Time per Page,Number of Pages,Estimated Reading Time per Page (Minutes),Resolution Height
./05_DesignPattern_SU_AbstractFactory_295.pdf,34,0,[0.14],1,0.14,540.0
./05_DesignPattern_SU_Adapter_280.pdf,48,4,"[0.76, 0.77]",2,1.53,595.3200073242188
./05_DesignPattern_SU_Anit-Pattern_Grundlagen_343.pdf,59,1,[0.57],1,0.57,595.3200073242188
./05_DesignPattern_SU_Architektur-Design-Anti-Pattern_354.pdf,42,5,[1.83],1,1.83,595.3200073242188
./05_DesignPattern_SU_Bridge_281.pdf,40,6,[2.16],1,2.16,595.3200073242188
./05_DesignPattern_SU_ChainofResponsibility_334.pdf,55,3,[1.22],1,1.22,595.3200073242188
./05_DesignPattern_SU_Command_260.pdf,91,3,[1.36],1,1.36,595.3200073242188
./05_DesignPattern_SU_Decorator_246.pdf,38,0,[0.15],1,0.15,540.0
./05_DesignPattern_SU_Grundlagen_195.pdf,61,0,"[0.11, 0.14]",2,0.24,540.0
./05_DesignPattern_SU_Kompositum_305.pdf,74,3,[1.3],1,1.30,595.3200073242188
./05_DesignPattern_SU_MVC_233.pdf,91,2,"[0.86, 0.17]",2,1.03,595.3200073242188
./05_DesignPattern_SU_Observer_232.pdf,49,0,[0.2],1,0.20,540.0
./05_DesignPattern_SU_Programming-Anti-Pattern_363.pdf,28,5,[1.78],1,1.78,595.3200073242188
./05_DesignPattern_SU_Proxy_282.pdf,27,0,[0.11],1,0.11,540.0
./05_DesignPattern_SU_SOLID_208.pdf,52,0,[0.21],1,0.21,540.0
./05_DesignPattern_SU_Singleton_217.pdf,26,0,[0.1],1,0.10,540.0
./05_DesignPattern_SU_Strategy_325.pdf,31,0,[0.12],1,0.12,540.0
./05_DesignPattern_SU_TemplateMethod_315.pdf,37,0,[0.15],1,0.15,540.0
./05_DesignPattern_TAM_AbstractFactory_296.pdf,0,2,[0.67],1,0.67,595.219970703125
./05_DesignPattern_TAM_Decorator_248.pdf,0,1,[0.33],1,0.33,595.219970703125
./05_DesignPattern_TAM_Observer_235.pdf,0,2,"[0.33, 0.33]",2,0.67,595.219970703125
./05_DesignPattern_TAM_Singleton_218.pdf,0,1,[0.33],1,0.33,595.219970703125
./07_EX_Äquivalenzklassen_451.pdf,74,0,"[0.01, 0.29]",2,0.30,540.0
./07_EX_Coding_Guidelines_484.pdf,42,1,"[0.01, 0.49]",2,0.50,540.0
./07_EX_Dynamische Tests_440.pdf,118,0,"[0.01, 0.46]",2,0.47,540.0
./07_EX_Grenzwertanalyse_462.pdf,49,0,"[0.01, 0.19]",2,0.20,540.0
./07_EX_Grundlagen_416.pdf,19,0,"[0.01, 0.06]",2,0.08,540.0
./07_EX_SW Metrik_499.pdf,82,1,"[0.01, 0.65]",2,0.66,540.0
./07_EX_Statische Tests_429.pdf,158,1,"[0.01, 0.95]",2,0.97,540.0
./07_EX_White-Box_Test_473.pdf,51,1,"[0.02, 0.52]",2,0.54,540.0
./AntiPattern_William_J_Brown_344.pdf,3782,3,"[1.23, 1.68, 1.56, 2.28, 2.82, 2.44, 2.22, 1.89]",8,16.13,792.0
./AntiPattern_William_J_Brown_355.pdf,17417,15,"[2.03, 2.3, 1.93, 1.61, 1.79, 1.57, 2.2, 1.96, 1.94, 1.78, 1.41, 2.46, 2.07, 2.09, 1.98, 1.79, 2.09, 2.42, 2.22, 1.59, 1.29, 2.48, 2.49, 2.07, 1.84, 2.35, 2.69, 2.52, 2.8, 2.12, 2.05, 1.8, 2.48, 1.38, 0.97, 2.19, 1.91]",37,74.67,792.0
./AntiPattern_William_J_Brown_364.pdf,17943,18,"[1.88, 2.44, 2.41, 1.73, 1.99, 2.11, 1.11, 1.36, 2.03, 1.37, 1.78, 2.01, 1.94, 2.28, 2.92, 1.77, 2.12, 2.39, 1.7, 1.87, 1.7, 2.11, 1.77, 1.91, 2.91, 2.44, 1.94, 2.12, 2.8, 1.23, 0.64, 0.76, 0.85, 1.92, 2.13, 2.24, 1.86, 2.7, 2.52, 2.03]",40,77.77,792.0
./Äquivalenzklassenanalyse_TZ_454.pdf,3815,0,"[1.33, 1.22, 1.35, 1.24, 1.52, 1.25, 1.06, 1.3, 1.12, 1.3, 1.29, 1.28]",12,15.26,673.5999755859375
./ChainOfResponsibility_TZ_Gamma_335.pdf,2562,5,"[0.78, 1.05, 0.87, 0.64, 0.82, 0.31, 0.77, 0.63, 0.4, 0.8, 0.35, 0.31, 0.56, 0.43, 0.3, 0.52, 0.28, 0.43, 0.59, 0.98, 0.09]",21,11.91,792.0
./Design-Pattern-Model-View-Controller-MS_225.pdf,418,9,"[2.09, 0.38, 0.73, 0.7, 0.38, 0.38]",6,4.67,540.0
./Dynamischer_Test_Übersicht_443.pdf,851,0,"[1.33, 1.04, 1.04]",3,3.40,673.5999755859375
./FuSi-ITSec-Grundlagen-TAM_373.pdf,18288,0,"[0.07, 0.54, 0.34, 1.54, 1.23, 0.7, 1.77, 2.32, 0.9, 1.39, 1.13, 1.49, 1.94, 1.12, 1.43, 1.77, 1.59, 1.16, 1.84, 1.84, 1.96, 0.68, 1.34, 1.99, 2.22, 1.99, 1.54, 1.82, 1.51, 2.09, 1.91, 2.04, 2.01, 0.4, 1.1, 0.56, 0.97, 1.54, 1.45, 1.33, 1.36, 1.5, 0.19, 1.79, 2.1, 1.94, 1.91, 2.04, 2.12, 1.62]",50,73.15,841.0
./Grenzwertanalyse_TZ_465.pdf,1653,0,"[1.28, 1.38, 1.31, 1.42, 1.22]",5,6.61,673.5999755859375
./Grundlagen_TZ_Softwaretest_421.pdf,10254,0,"[0.82, 1.09, 1.35, 1.4, 1.56, 1.4, 1.32, 1.33, 1.01, 1.47, 1.64, 1.44, 1.26, 0.84, 1.35, 1.63, 1.37, 1.12, 1.38, 1.48, 1.53, 1.13, 1.5, 1.24, 1.5, 1.35, 1.39, 1.43, 1.53, 1.38, 0.77]",31,41.02,673.5999755859375
./Hd1st-Decorator-Pattern_249.pdf,0,1967,"[1.0, 6.0, 310.0, 0.67, 45.0, 44.33, 0.33, 1.67, 0.0, 0.33, 1.33, 1.0, 10.33, 25.33, 0.33, 57.33, 0.33, 0.33, 43.0, 0.0, 39.33, 3.67, 29.67, 0.33, 0.33, 0.33, 29.33, 4.0, 0.0]",29,655.67,842.0
./OOA_OOD-UML-Notationsübersicht-2.5_155.pdf,864,1,"[1.23, 0.95, 0.94, 0.66]",4,3.79,842.0
./SES_01_MS_SoftwareEngineering-EmergingTrends_16.pdf,61,8,"[2.08, 0.83]",2,2.91,540.0
./SES_01_MS_SoftwareEngineering_15.pdf,1713,10,"[1.44, 0.25, 0.57, 0.24, 0.22, 0.16, 0.21, 0.16, 0.23, 0.22, 0.15, 0.48, 0.13, 0.19, 0.18, 0.71, 0.34, 0.39, 0.34, 0.56, 0.33, 0.36, 0.04, 0.45, 0.1, 0.55, 0.44, 0.33, 0.21, 0.19]",30,10.19,595.3200073242188
./SES_01_TAM_50JahreSE_Sammlung_23.pdf,152,0,[0.61],1,0.61,841.5
./SES_01_TAM_BasicConceptsandTaxonomyofDependableandSecureComputing_24.pdf,17574,26,"[3.45, 3.53, 4.15, 3.54, 2.13, 1.16, 3.72, 3.59, 3.45, 3.87, 3.28, 2.02, 4.01, 3.63, 2.61, 1.4, 3.72, 3.51, 3.88, 4.03, 2.69, 5.41, 6.18]",23,78.96,774.0
./SES_01_TAM_SoftwareEngineering_25.pdf,2803,5,"[0.52, 3.15, 3.02, 3.08, 3.11]",5,12.88,774.0
./SES_01_ZF_Einführung_22.pdf,31,2,[0.79],1,0.79,595.3200073242188
./SES_02_MS_ElementeSE_01_Requirements_Engineering_33.pdf,289,6,"[1.44, 0.3, 0.15, 0.82, 0.24, 0.21]",6,3.16,595.3200073242188
./SES_02_MS_ElementeSE_02_Software_Design_Codierung_Test_34.pdf,349,3,"[0.87, 0.26, 0.16, 0.29, 0.41, 0.23, 0.18]",7,2.40,595.3200073242188
./SES_02_MS_ElementeSE_03_Projektmanagement_35.pdf,250,2,"[0.54, 0.17, 0.45, 0.29, 0.22]",5,1.67,595.3200073242188
./SES_02_MS_ElementeSE_04_Software_Qualitätssicherung_36.pdf,230,4,"[0.75, 0.47, 0.21, 0.19, 0.49, 0.15]",6,2.25,595.3200073242188
./SES_02_MS_ElementeSE_05_Software_Konfigurationsmanagement_37.pdf,485,2,"[0.93, 0.3, 0.39, 0.15, 0.11, 0.24, 0.14, 0.34]",8,2.61,595.3200073242188
./SES_02_MS_ElementeSE_06_Notationen_Dokumente_Templates_Methoden_Tools_38.pdf,207,2,"[0.49, 0.19, 0.17, 0.64]",4,1.49,595.3200073242188
./SES_02_MS_ElementeSE_07_Rollen_39.pdf,231,6,"[0.85, 0.17, 0.23, 0.57, 1.04, 0.06]",6,2.92,595.3200073242188
./SES_02_MS_Vorgehensmodelle_01_Software_Prozess_50.pdf,422,10,"[1.43, 0.27, 1.12, 0.88, 0.24, 0.16, 0.22, 0.14, 0.52, 0.04]",10,5.02,595.3200073242188
./SES_02_MS_Vorgehensmodelle_02_Wasserfall_Modell_51.pdf,281,4,"[0.45, 0.24, 0.16, 0.26, 0.3, 1.04]",6,2.46,595.3200073242188
./SES_02_MS_Vorgehensmodelle_03_V-Modell_52.pdf,135,5,"[0.53, 0.39, 0.24, 1.04]",4,2.21,595.3200073242188
./SES_02_MS_Vorgehensmodelle_04_Inkrementelles_Iteratives_Vorgehen_53.pdf,573,5,"[0.75, 0.2, 0.19, 0.16, 0.28, 0.23, 0.2, 0.26, 0.67, 1.04]",10,3.96,595.3200073242188
./SES_02_MS_Vorgehensmodelle_04_Inkrementelles_Iteratives_Vorgehen_RUP_54.pdf,258,5,"[0.52, 0.25, 0.24, 0.12, 0.39, 0.13, 1.04]",7,2.70,595.3200073242188
./SES_02_MS_Vorgehensmodelle_05_Agile_Methoden_67.pdf,353,1,"[0.85, 0.5, 0.4]",3,1.75,595.3200073242188
./SES_02_MS_Vorgehensmodelle_05_Agile_Methoden_Extreme_Programming_68.pdf,192,4,"[0.66, 0.2, 0.19, 1.04]",4,2.10,595.3200073242188
./SES_02_MS_Vorgehensmodelle_05_Agile_Methoden_Scrum_69.pdf,259,6,"[0.53, 0.22, 0.3, 0.49, 0.45, 1.04]",6,3.04,595.3200073242188
./SES_02_MS_Vorgehensmodelle_06_Prozessbewertung_87.pdf,157,4,"[0.86, 0.56, 0.54]",3,1.96,595.3200073242188
./SES_02_MS_Vorgehensmodelle_06_Prozessbewertung_CMMI_88.pdf,780,8,"[0.68, 0.09, 0.31, 0.28, 0.17, 0.62, 0.5, 0.28, 0.77, 0.42, 0.42, 0.22, 1.04]",13,5.79,595.3200073242188
./SES_02_MS_Vorgehensmodelle_06_Prozessbewertung_SPICE_89.pdf,612,15,"[0.69, 0.18, 0.13, 0.21, 0.53, 2.3, 0.41, 0.73, 0.72, 0.28, 0.16, 1.04, 0.06]",13,7.45,595.3200073242188
./SES_02_MS_Vorgehensmodelle_KategorisierungEntwicklungsprozesse_Agilität-Schneiders-Modell_61.pdf,209,2,"[0.07, 0.46, 0.17, 0.13, 0.44, 0.11, 0.11, 0.02]",8,1.50,595.219970703125
./SES_02_TAM_Vorgehensmodelle_06_Prozessbewertung_CMMISPICE_94.pdf,893,0,"[0.86, 1.11, 0.9, 0.7]",4,3.57,595.0
./SES_02_TZ_Vorgehensmodelle_Lösung_Schneiders-Modell_74.pdf,361,0,"[0.7, 0.41, 0.33]",3,1.44,540.0
./SES_02_TZ_Vorgehensmodelle_Scrum_79.pdf,7715,2,"[2.58, 2.83, 2.92, 2.48, 3.0, 2.3, 2.77, 2.63, 2.3, 2.22, 2.61, 1.0, 1.89]",13,31.53,841.8900146484375
./SES_02_TZ_Vorgehensmodelle_What Google Learned From Its Quest to Build the Perfect Team_63.pdf,5926,2,"[6.47, 5.07, 5.05, 4.15, 3.63]",5,24.37,842.0
./SES_02_TZ_Vorgehensmodelle_XP_78.pdf,1375,4,"[0.68, 0.12, 0.39, 0.08, 0.26, 0.11, 0.14, 0.16, 0.57, 0.2, 0.12, 0.3, 0.2, 0.26, 0.26, 0.21, 0.3, 0.29, 0.28, 0.15, 0.29, 0.31, 0.26, 0.08, 0.22, 0.13, 0.26, 0.18]",28,6.83,421.20001220703125
./SES_02_ZF_Entwicklungsprozesse_01_Elemente_SE_43.pdf,28,2,[0.78],1,0.78,595.3200073242188
./SES_02_ZF_Entwicklungsprozesse_02_Klassisch_60.pdf,99,10,"[1.09, 1.4, 0.77, 0.47]",4,3.73,595.3200073242188
./SES_02_ZF_Entwicklungsprozesse_03_Agil_76.pdf,100,5,"[1.77, 0.1, 0.2]",3,2.07,595.3200073242188
./SES_02_ZF_Entwicklungsprozesse_04_Prozessbewertung_93.pdf,36,3,[1.14],1,1.14,595.3200073242188
./SES_03_MS_RequirementsEngineering_01_Motivation_99.pdf,47,9,"[1.04, 0.39, 1.76]",3,3.19,540.0
./SES_03_MS_RequirementsEngineering_02_Grundbegriffe_100.pdf,524,7,"[1.04, 0.63, 0.53, 0.7, 0.19, 0.25, 0.44, 0.4, 0.25]",9,4.43,540.0
./SES_03_MS_RequirementsEngineering_03_Nicht_Funktionale_RQs_101.pdf,266,7,"[1.05, 1.4, 0.5, 0.23, 0.22]",5,3.40,540.0
./SES_03_MS_RequirementsEngineering_04_Sammmeln_von_RQs_102.pdf,52,3,"[1.05, 0.16]",2,1.21,540.0
./SES_03_MS_RequirementsEngineering_05_Analysieren_von_RQs_103.pdf,208,4,"[1.05, 0.18, 0.68, 0.25]",4,2.17,540.0
./SES_03_MS_RequirementsEngineering_06_Dokumentieren_von_RQs_121.pdf,639,5,"[1.05, 0.14, 0.13, 0.14, 0.23, 0.24, 0.23, 0.47, 0.11, 0.16, 0.57, 0.2, 0.13, 0.43]",14,4.22,540.0
./SES_03_MS_RequirementsEngineering_07_Ueberpruefen_von_RQs_104.pdf,141,3,"[1.05, 0.35, 0.16]",3,1.56,540.0
./SES_03_MS_RequirementsEngineering_08_Modell_von_Kano_105.pdf,109,4,"[1.05, 0.16, 0.43, 0.12]",4,1.77,540.0
./SES_03_TZ_RequirementsEngineering_Checkliste_113.pdf,511,0,"[1.52, 0.52]",2,2.04,841.9199829101562
./SES_03_TZ_RequirementsEngineering_Denkfehler_111.pdf,684,0,"[0.78, 0.55, 0.64, 0.62, 0.15]",5,2.74,842.0
./SES_03_TZ_RequirementsEngineering_Requirements_Engineering_115.pdf,12401,32,"[2.03, 0.62, 1.18, 1.38, 2.04, 1.6, 2.3, 2.26, 2.04, 1.66, 1.3, 2.39, 2.1, 1.94, 2.48, 1.74, 1.34, 2.2, 2.16, 2.39, 2.5, 2.6, 1.76, 2.31, 1.87, 2.01, 0.6, 0.02, 4.22, 4.45, 0.78]",31,60.27,595.2760009765625
./SES_03_TZ_RequirementsEngineering_Review_Techniken_RQs_112.pdf,2969,1,"[0.32, 0.66, 0.67, 0.62, 0.67, 0.65, 0.83, 0.82, 0.93, 1.06, 0.77, 1.08, 1.0, 1.24, 0.88]",15,12.21,680.4000244140625
./SES_03_TZ_RequirementsEngineering_Satzschablonen_127.pdf,9954,30,"[0.33, 0.58, 0.36, 0.4, 0.57, 1.21, 1.38, 1.22, 0.36, 0.93, 0.76, 1.08, 0.77, 0.87, 0.76, 0.95, 0.82, 1.28, 1.29, 1.06, 1.36, 0.47, 0.92, 1.08, 0.75, 0.87, 0.5, 0.91, 1.52, 1.02, 0.97, 0.93, 0.86, 0.96, 0.95, 0.4, 0.44, 1.06, 1.11, 0.76, 0.64, 0.74, 0.84, 0.66, 0.65, 1.12, 0.49, 0.14, 0.48, 8.56, 0.33, 0.33]",52,49.82,595.2760009765625
./SES_03_ZF_RequirementsEngineering_01_Grundlagen_110.pdf,192,23,"[1.12, 0.89, 1.11, 2.43, 1.4, 1.48]",6,8.43,595.3200073242188
./SES_03_ZF_RequirementsEngineering_02_Satzschablone_126.pdf,94,37,"[0.54, 12.17]",2,12.71,595.3200073242188
./SES_04_MS_ObjektorientierteAnalyse_01_Grundlagen_144.pdf,1231,20,"[1.43, 0.24, 1.2, 0.27, 0.4, 0.31, 0.38, 0.21, 3.21, 0.25, 0.49, 0.99, 0.26, 0.28, 0.24, 0.41, 0.31, 0.24, 0.21, 0.27]",20,11.59,595.3200073242188
./SES_04_MS_ObjektorientierteAnalyse_02_UML_145.pdf,877,2,"[0.71, 0.24, 0.17, 0.22, 0.27, 0.29, 0.32, 0.31, 0.3, 0.45, 0.47, 0.15, 0.14, 0.14]",14,4.17,595.3200073242188
./SES_04_MS_ObjektorientierteAnalyse_03_DiagrammeUML_146.pdf,174,75,"[8.75, 0.79, 2.77, 6.08, 4.08, 1.43, 0.75, 1.04]",8,25.70,595.3200073242188
./SES_04_MS_ObjektorientierteAnalyse_04_Modellierungstatisch_147.pdf,1490,30,"[0.68, 0.25, 0.22, 0.57, 0.23, 0.22, 0.23, 0.26, 0.26, 0.24, 0.11, 0.31, 0.43, 0.43, 0.32, 0.22, 0.25, 0.39, 0.35, 0.17, 0.26, 8.53, 1.04]",23,15.96,595.3200073242188
./SES_04_MS_ObjektorientierteAnalyse_05_Modellierungdynamisch_148.pdf,484,4,"[0.68, 0.23, 0.41, 0.17, 0.3, 0.16, 0.21, 1.04, 0.06]",9,3.27,595.3200073242188
./SES_04_MS_ObjektorientiertesDesign_01_Grundlagen_166.pdf,606,11,"[1.43, 0.23, 0.37, 0.36, 0.23, 0.18, 0.15, 0.14, 0.17, 0.13, 0.18, 0.45, 2.06]",13,6.09,595.3200073242188
